docID,edinetCode,secCode,filerName,formCode,submitDateTime,docTypeCode,submitDateTime,docDescription,pdfFlag,csvFlag
S100TNTY,E05485,33710,株式会社ソフトクリエイトホールディングス,030000,2024-06-19 13:16:00,120.0,2024-06-19 13:16:00,有価証券報告書－第57期(2023/04/01－2024/03/31),1,1
S100TND7,E02513,80310,三井物産株式会社,030000,2024-06-19 13:32:00,120.0,2024-06-19 13:32:00,有価証券報告書－第105期(2023/04/01－2024/03/31),1,1
S100TNUK,E03615,84110,株式会社みずほフィナンシャルグループ,030000,2024-06-19 13:48:00,120.0,2024-06-19 13:48:00,有価証券報告書－第22期(2023/04/01－2024/03/31),1,1
S100TMZW,E31054,60350,株式会社アイ・アールジャパンホールディングス,030000,2024-06-19 13:55:00,120.0,2024-06-19 13:55:00,有価証券報告書－第10期(2023/04/01－2024/03/31),1,1
S100TNI0,E02729,98890,ＪＢＣＣホールディングス株式会社,030000,2024-06-19 14:04:00,120.0,2024-06-19 14:04:00,有価証券報告書－第60期(2023/04/01－2024/03/31),1,1
S100TN9Q,E01757,65900,芝浦メカトロニクス株式会社,030000,2024-06-19 14:04:00,120.0,2024-06-19 14:04:00,有価証券報告書－第115期(2023/04/01－2024/03/31),1,1
S100TNKE,E00995,79710,東リ株式会社,030000,2024-06-19 14:11:00,120.0,2024-06-19 14:11:00,有価証券報告書－第160期(2023/04/01－2024/03/31),1,1
S100TNEQ,E02643,81330,伊藤忠エネクス株式会社,030000,2024-06-19 14:12:00,120.0,2024-06-19 14:12:00,有価証券報告書－第64期(2023/04/01－2024/03/31),1,1
S100TNWB,E31012,28830,株式会社大冷,030000,2024-06-19 14:14:00,120.0,2024-06-19 14:14:00,有価証券報告書－第53期(2023/04/01－2024/03/31),1,1
S100TNOB,E02535,80650,佐藤商事株式会社,030000,2024-06-19 14:21:00,120.0,2024-06-19 14:21:00,有価証券報告書－第101期(2023/04/01－2024/03/31),1,1
S100TNTZ,E01667,63490,株式会社小森コーポレーション,030000,2024-06-19 14:24:00,120.0,2024-06-19 14:24:00,有価証券報告書－第78期(2023/04/01－2024/03/31),1,1
S100TNE0,E02166,72670,本田技研工業株式会社,030000,2024-06-19 14:36:00,120.0,2024-06-19 14:36:00,有価証券報告書－第100期(2023/04/01－2024/03/31),1,1
S100TNLE,E23187,87130,フィデアホールディングス株式会社,030000,2024-06-19 14:37:00,120.0,2024-06-19 14:37:00,有価証券報告書－第15期(2023/04/01－2024/03/31),1,1
S100TMYQ,E00989,49020,コニカミノルタ株式会社,030000,2024-06-19 14:41:00,120.0,2024-06-19 14:41:00,有価証券報告書－第120期(2023/04/01－2024/03/31),1,1
S100TNIH,E01730,61610,株式会社エスティック,030000,2024-06-19 14:44:00,120.0,2024-06-19 14:44:00,有価証券報告書－第31期(2023/03/21－2024/03/20),1,1
S100TNDE,E02357,77740,株式会社ジャパン・ティッシュエンジニアリング,030000,2024-06-19 14:45:00,120.0,2024-06-19 14:45:00,有価証券報告書－第26期(2023/04/01－2024/03/31),1,1
S100TN6Q,E01231,54060,株式会社　神戸製鋼所,030000,2024-06-19 14:55:00,120.0,2024-06-19 14:55:00,有価証券報告書－第171期(2023/04/01－2024/03/31),1,1
S100TNGJ,E04272,92010,日本航空株式会社,030000,2024-06-19 15:00:00,120.0,2024-06-19 15:00:00,有価証券報告書－第75期(2023/04/01－2024/03/31),1,1
S100TMV2,E04105,90450,京阪ホールディングス株式会社,030000,2024-06-19 15:00:00,120.0,2024-06-19 15:00:00,有価証券報告書－第102期(2023/04/01－2024/03/31),1,1
S100TNS5,E21261,21810,パーソルホールディングス株式会社,030000,2024-06-19 15:02:00,120.0,2024-06-19 15:02:00,有価証券報告書－第16期(2023/04/01－2024/03/31),1,1
S100TNIA,E02881,75750,日本ライフライン株式会社,030000,2024-06-19 15:04:00,120.0,2024-06-19 15:04:00,有価証券報告書－第44期(2023/04/01－2024/03/31),1,1
S100TNDP,E21187,58570,ＡＲＥホールディングス株式会社,030000,2024-06-19 15:09:00,120.0,2024-06-19 15:09:00,有価証券報告書－第15期(2023/04/01－2024/03/31),1,1
S100TMLR,E04899,96250,株式会社セレスポ,030000,2024-06-19 15:10:00,120.0,2024-06-19 15:10:00,有価証券報告書－第47期(2023/04/01－2024/03/31),1,1
S100TME8,E03071,81300,株式会社サンゲツ,030000,2024-06-19 15:18:00,120.0,2024-06-19 15:18:00,有価証券報告書－第72期(2023/04/01－2024/03/31),1,1
S100TNH2,E03568,83610,株式会社　大垣共立銀行,030000,2024-06-19 15:24:00,120.0,2024-06-19 15:24:00,有価証券報告書－第212期(2023/04/01－2024/03/31),1,1
S100TNKA,E04855,96910,株式会社両毛システムズ,030000,2024-06-19 15:29:00,120.0,2024-06-19 15:29:00,有価証券報告書－第55期(2023/04/01－2024/03/31),1,1
S100TNJC,E05175,48330,株式会社Ｓｕｃｃｅｓｓ　Ｈｏｌｄｅｒｓ,030000,2024-06-19 15:30:00,120.0,2024-06-19 15:30:00,有価証券報告書－第37期(2023/04/01－2024/03/31),1,1
S100TNGQ,E37146,44160,株式会社Ｔｒｕｅ　Ｄａｔａ,030000,2024-06-19 15:32:00,120.0,2024-06-19 15:32:00,有価証券報告書－第24期(2023/04/01－2024/03/31),1,1
S100TNYS,E05535,24680,株式会社フュートレック,030000,2024-06-19 15:37:00,120.0,2024-06-19 15:37:00,有価証券報告書－第24期(2023/04/01－2024/03/31),1,1
S100TNGX,E01975,65940,ニデック株式会社,030000,2024-06-19 15:42:00,120.0,2024-06-19 15:42:00,有価証券報告書－第51期(2023/04/01－2024/03/31),1,1
S100TNM4,E01828,68070,日本航空電子工業株式会社,030000,2024-06-19 15:47:00,120.0,2024-06-19 15:47:00,有価証券報告書－第94期(2023/04/01－2024/03/31),1,1
S100TNK2,E00149,19690,高砂熱学工業株式会社,030000,2024-06-19 15:59:00,120.0,2024-06-19 15:59:00,有価証券報告書－第144期(2023/04/01－2024/03/31),1,1
S100TO0C,E01514,62010,株式会社豊田自動織機,030000,2024-06-19 16:06:00,120.0,2024-06-19 16:06:00,有価証券報告書－第146期(2023/04/01－2024/03/31),1,1
S100TMH6,E04911,96130,株式会社ＮＴＴデータグループ,030000,2024-06-19 16:14:00,120.0,2024-06-19 16:14:00,有価証券報告書－第36期(2023/04/01－2024/03/31),1,1
S100TNTL,E03041,82530,株式会社クレディセゾン,030000,2024-06-19 16:21:00,120.0,2024-06-19 16:21:00,有価証券報告書－第74期(2023/04/01－2024/03/31),1,1
S100TNHQ,E00829,78710,フクビ化学工業株式会社,030000,2024-06-19 16:41:00,120.0,2024-06-19 16:41:00,有価証券報告書－第90期(2023/04/01－2024/03/31),1,1
S100TO87,E00119,19640,中外炉工業株式会社,030000,2024-06-20 09:00:00,120.0,2024-06-20 09:00:00,有価証券報告書－第82期(2023/04/01－2024/03/31),1,1
S100TN0I,E03953,88600,フジ住宅株式会社,030000,2024-06-20 09:03:00,120.0,2024-06-20 09:03:00,有価証券報告書－第51期(2023/04/01－2024/03/31),1,1
S100TN9T,E00783,40910,日本酸素ホールディングス株式会社,030000,2024-06-20 09:03:00,120.0,2024-06-20 09:03:00,有価証券報告書－第20期(2023/04/01－2024/03/31),1,1
S100TMV9,E05669,38410,株式会社ジーダット,030000,2024-06-20 09:06:00,120.0,2024-06-20 09:06:00,有価証券報告書－第22期(2023/04/01－2024/03/31),1,1
S100TNZR,E02753,99140,株式会社　植松商会,030000,2024-06-20 09:07:00,120.0,2024-06-20 09:07:00,有価証券報告書－第70期(2023/03/21－2024/03/20),1,1
S100TN8T,E01711,63220,株式会社タクミナ,030000,2024-06-20 09:13:00,120.0,2024-06-20 09:13:00,有価証券報告書－第48期(2023/04/01－2024/03/31),1,1
S100TO5A,E00806,40820,第一稀元素化学工業株式会社,030000,2024-06-20 09:37:00,120.0,2024-06-20 09:37:00,有価証券報告書－第68期(2023/04/01－2024/03/31),1,1
S100TM0V,E02998,30360,アルコニックス株式会社,030000,2024-06-20 09:38:00,120.0,2024-06-20 09:38:00,有価証券報告書－第43期(2023/04/01－2024/03/31),1,1
S100TNW0,E02221,72960,株式会社エフ・シー・シー,030000,2024-06-20 09:42:00,120.0,2024-06-20 09:42:00,有価証券報告書－第94期(2023/04/01－2024/03/31),1,1
S100TOCL,E01430,59330,アルインコ株式会社,030000,2024-06-20 09:48:00,120.0,2024-06-20 09:48:00,有価証券報告書－第54期(2023/03/21－2024/03/20),1,1
S100TO5V,E33825,43810,ビープラッツ株式会社,030000,2024-06-20 09:52:00,120.0,2024-06-20 09:52:00,有価証券報告書－第18期(2023/04/01－2024/03/31),1,1
S100TMRF,E00285,17620,株式会社髙松コンストラクショングループ,030000,2024-06-20 09:55:00,120.0,2024-06-20 09:55:00,有価証券報告書－第59期(2023/04/01－2024/03/31),1,1
S100TNQ1,E02567,80880,岩谷産業株式会社,030000,2024-06-20 10:00:00,120.0,2024-06-20 10:00:00,有価証券報告書－第81期(2023/04/01－2024/03/31),1,1
S100TO0V,E00776,40630,信越化学工業株式会社,030000,2024-06-20 10:18:00,120.0,2024-06-20 10:18:00,有価証券報告書－第147期(2023/04/01－2024/03/31),1,1
S100TO0S,E01721,64020,兼松エンジニアリング株式会社,030000,2024-06-20 10:21:00,120.0,2024-06-20 10:21:00,有価証券報告書－第53期(2023/04/01－2024/03/31),1,1
S100TNYX,E34679,14510,株式会社ＫＨＣ,030000,2024-06-20 10:22:00,120.0,2024-06-20 10:22:00,有価証券報告書－第43期(2023/04/01－2024/03/31),1,1
S100TO3M,E05304,23270,日鉄ソリューションズ株式会社,030000,2024-06-20 10:37:00,120.0,2024-06-20 10:37:00,有価証券報告書－第44期(2023/04/01－2024/03/31),1,1
S100TO0E,E00540,31160,トヨタ紡織株式会社,030000,2024-06-20 10:41:00,120.0,2024-06-20 10:41:00,有価証券報告書－第99期(2023/04/01－2024/03/31),1,1
S100TLP1,E00406,22670,株式会社ヤクルト本社,030000,2024-06-20 10:52:00,120.0,2024-06-20 10:52:00,有価証券報告書－第72期(2023/04/01－2024/03/31),1,1
S100TNFM,E23250,87140,株式会社池田泉州ホールディングス,030000,2024-06-20 11:02:00,120.0,2024-06-20 11:02:00,有価証券報告書－第15期(2023/04/01－2024/03/31),1,1
